Team,Goals,Shots,ShotsOnTarget,xG,BigChances,Possession(%),Passes(%),Fouls,Tackles(%),Clearances,Interceptions,ErrorsLeadingtoShot,ErrorsLeadingtoGoal,Coner,Yellow,Red,Saves,xGOTFaced,GoalsPrevented
Belgium,1.3333333333333333,9.0,3.0,1.1533333333333333,1.6666666666666667,38.333333333333336,73.66666666666667,11.666666666666666,55.0,31.666666666666668,8.333333333333334,1.0,0.0,2.3333333333333335,1.6666666666666667,0.0,5.0,2.6166666666666667,0.05333333333333331
Denmark,1.3333333333333333,10.0,5.0,1.0733333333333333,15.333333333333334,49.0,68.66666666666667,8.333333333333334,58.0,37.666666666666664,7.666666666666667,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,0.0,4.0,1.46,-0.20666666666666667
England,3.6666666666666665,17.666666666666668,6.333333333333333,3.0533333333333332,5.666666666666667,62.0,84.0,7.666666666666667,61.666666666666664,18.666666666666668,6.0,1.0,0.3333333333333333,5.333333333333333,0.3333333333333333,0.0,2.0,0.9266666666666667,-0.04666666666666667
Finland,1.0,12.333333333333334,4.333333333333333,1.1366666666666667,1.0,55.0,80.33333333333333,7.0,58.666666666666664,31.666666666666668,5.333333333333333,0.0,0.0,5.333333333333333,0.6666666666666666,0.0,2.6666666666666665,0.8866666666666667,0.21666666666666667
France,3.6666666666666665,16.0,8.0,2.643333333333333,4.333333333333333,55.333333333333336,80.66666666666667,9.333333333333334,67.0,22.0,7.333333333333333,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.0,0.0,2.3333333333333335,1.2266666666666668,0.23000000000000007
Germany,1.6666666666666667,20.333333333333332,5.0,2.41,3.3333333333333335,64.66666666666667,83.66666666666667,8.333333333333334,67.33333333333333,14.0,9.0,0.6666666666666666,0.0,6.333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.5833333333333333,-0.09999999999999998
Iceland,1.0,11.666666666666666,3.6666666666666665,1.4400000000000002,2.3333333333333335,42.0,70.66666666666667,11.666666666666666,59.0,26.333333333333332,9.666666666666666,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,2.6666666666666665,1.7433333333333332,-0.5766666666666667
Italy,1.0,14.666666666666666,5.0,1.4633333333333332,1.3333333333333333,38.666666666666664,76.33333333333333,7.666666666666667,60.0,23.333333333333332,8.666666666666666,0.3333333333333333,0.6666666666666666,5.0,1.3333333333333333,0.0,2.3333333333333335,1.21,-0.20333333333333334
Netherlands,1.6666666666666667,11.666666666666666,5.333333333333333,0.9633333333333334,2.6666666666666665,55.666666666666664,80.0,11.0,58.0,20.0,8.666666666666666,0.3333333333333333,0.6666666666666666,4.333333333333333,1.0,0.0,2.3333333333333335,2.313333333333333,-0.6866666666666666
Norway,2.6666666666666665,10.666666666666666,4.333333333333333,1.3766666666666667,2.6666666666666665,49.333333333333336,76.0,7.333333333333333,61.333333333333336,22.333333333333332,5.0,0.6666666666666666,0.0,6.666666666666667,1.0,0.3333333333333333,4.333333333333333,1.5966666666666667,-0.07
Poland,0.6666666666666666,11.333333333333334,4.0,1.3499999999999999,18.333333333333332,52.333333333333336,70.66666666666667,8.333333333333334,67.33333333333333,30.0,7.333333333333333,1.6666666666666667,0.0,3.6666666666666665,1.3333333333333333,0.0,4.0,2.6300000000000003,-0.036666666666666674
Portugal,0.6666666666666666,10.333333333333334,3.0,0.9966666666666667,2.3333333333333335,48.0,78.66666666666667,9.333333333333334,58.666666666666664,27.333333333333332,10.666666666666666,1.0,0.0,6.0,1.3333333333333333,0.3333333333333333,3.6666666666666665,2.54,-0.12666666666666668
Spain,4.666666666666667,25.0,8.666666666666666,3.046666666666667,4.0,75.0,89.0,8.666666666666666,59.333333333333336,11.0,8.0,0.0,0.3333333333333333,8.333333333333334,0.3333333333333333,0.0,1.0,0.7266666666666667,-0.2733333333333333
Sweden,2.6666666666666665,18.0,5.666666666666667,2.8699999999999997,4.333333333333333,53.333333333333336,77.33333333333333,11.666666666666666,59.0,19.333333333333332,7.0,0.3333333333333333,0.0,7.0,0.3333333333333333,0.0,3.0,0.8033333333333333,0.18000000000000002
Switzerland,1.3333333333333333,16.0,5.0,0.9833333333333334,2.3333333333333335,54.333333333333336,78.33333333333333,10.0,58.0,22.0,8.0,0.3333333333333333,0.3333333333333333,5.666666666666667,0.6666666666666666,0.0,1.6666666666666667,1.1300000000000001,0.4633333333333334
Wales,0.6666666666666666,5.666666666666667,2.0,0.6233333333333334,0.6666666666666666,27.0,65.66666666666667,6.333333333333333,64.0,36.333333333333336,6.333333333333333,1.0,0.6666666666666666,3.0,1.0,0.0,4.333333333333333,3.903333333333333,-0.43
